"Segment Name","Size (MB)","Segment Type","Number of Rows"
"I_TYPE5","0.1","INDEX","-"
"I_VIEW1","0.1","INDEX","-"
"VTABLE$","0.1","TABLE","1,518"
"I_RESULT1","0.1","INDEX","-"
"PO_PLUGIN","0.1","TABLE","877"
"RESULTIND","0.1","INDEX","-"
"I_COLTYPE1","0.1","INDEX","-"
"I_COLTYPE2","0.1","INDEX","-"
"SYS_C00640","0.1","INDEX","-"
"SYS_C00641","0.1","INDEX","-"
"SYS_C00643","0.1","INDEX","-"
"SYS_C00644","0.1","INDEX","-"
"METASCRIPT$","0.1","TABLE","752"
"SYS_C007363","0.1","INDEX","-"
"TRIGGERCOL$","0.1","TABLE","3,057"
"T_EMPLOYEES","0.1","TABLE","107"
"OPB_MMD_LIBS","0.1","TABLE","1,189"
"EV$","0.1","TABLE","0"
"OL$","0.1","TABLE","0"
"AUD$","0.1","TABLE","0"
"DIM$","0.1","TABLE","0"
"DIR$","0.1","TABLE","4"
"DUAL","0.1","TABLE","1"
"DUC$","0.1","TABLE","10"
"ENC$","0.1","TABLE","0"
"FGA$","0.1","TABLE","0"
"HELP","0.1","TABLE","919"
"JOB$","0.1","TABLE","0"
"LOC$","0.1","TABLE","0"
"LOG$","0.1","TABLE","0"
"REG$","0.1","TABLE","0"
"RLS$","0.1","TABLE","105"
"SEQ$","0.1","TABLE","156"
"SUM$","0.1","TABLE","0"
"C_RG#","0.1","CLUSTER","-"
"C_TS#","0.1","CLUSTER","-"
"ECOL$","0.1","TABLE","0"
"FILE$","0.1","TABLE","4"
"HIER$","0.1","TABLE","0"
"I_DUC","0.1","INDEX","-"
"I_EV1","0.1","INDEX","-"
"I_EV2","0.1","INDEX","-"
"I_FGA","0.1","INDEX","-"
"I_RG#","0.1","INDEX","-"
"I_RLS","0.1","INDEX","-"
"I_TS#","0.1","INDEX","-"
"I_TS1","0.1","INDEX","-"
"KOPM$","0.1","TABLE","1"
"LINK$","0.1","TABLE","1"
"OPER1","0.1","INDEX","-"
"RULE$","0.1","TABLE","1"
"SNAP$","0.1","TABLE","0"
"UNDO$","0.1","TABLE","11"
"ASSOC1","0.1","INDEX","-"
"ASSOC2","0.1","INDEX","-"
"AUDIT$","0.1","TABLE","28"
"CPOOL$","0.1","TABLE","1"
"ERROR$","0.1","TABLE","0"
"EVCOL$","0.1","TABLE","0"
"INCEXP","0.1","TABLE","0"
"INCFIL","0.1","TABLE","0"
"INCVID","0.1","TABLE","1"
"INDOP$","0.1","TABLE","104"
"I_DIR1","0.1","INDEX","-"
"I_FGAP","0.1","INDEX","-"
"I_LOB1","0.1","INDEX","-"
"I_LOB2","0.1","INDEX","-"
"I_RLS2","0.1","INDEX","-"
"I_RULE","0.1","INDEX","-"
"I_SEQ1","0.1","INDEX","-"
"I_TAB1","0.1","INDEX","-"
"NOEXP$","0.1","TABLE","102"
"OPANC1","0.1","INDEX","-"
"OPARG$","0.1","TABLE","273"
"OPARG1","0.1","INDEX","-"
"PO_TAG","0.1","TABLE","0"
"PROPS$","0.1","TABLE","36"
"REDEF$","0.1","TABLE","0"
"REG$_T","0.1","INDEX","-"
"REVA_1","0.1","TABLE","4"
"SUMQB$","0.1","TABLE","0"
"COLLIND","0.1","INDEX","-"
"C_MLOG#","0.1","CLUSTER","-"
"C_USER#","0.1","CLUSTER","-"
"ENC_IDX","0.1","INDEX","-"
"EXPACT$","0.1","TABLE","17"
"FGACOL$","0.1","TABLE","0"
"I_AUDIT","0.1","INDEX","-"
"I_CDEF3","0.1","INDEX","-"
"I_COBJ#","0.1","INDEX","-"
"I_FILE1","0.1","INDEX","-"
"I_FILE2","0.1","INDEX","-"
"I_KOPM1","0.1","INDEX","-"
"I_LINK1","0.1","INDEX","-"
"I_MLOG#","0.1","INDEX","-"
"I_NTAB1","0.1","INDEX","-"
"I_NTAB2","0.1","INDEX","-"
"I_NTAB3","0.1","INDEX","-"
"I_RGJOB","0.1","INDEX","-"
"I_RGREF","0.1","INDEX","-"
"I_SLOG1","0.1","INDEX","-"
"I_SNAP1","0.1","INDEX","-"
"I_SNAP2","0.1","INDEX","-"
"I_TYPE3","0.1","INDEX","-"
"I_TYPE4","0.1","INDEX","-"
"I_UNDO1","0.1","INDEX","-"
"I_UNDO2","0.1","INDEX","-"
"I_USER#","0.1","INDEX","-"
"I_USER1","0.1","INDEX","-"
"I_USER2","0.1","INDEX","-"
"JIJOIN$","0.1","TABLE","0"
"KOTADX$","0.1","TABLE","-"
"OL$NAME","0.1","INDEX","-"
"OPBIND1","0.1","INDEX","-"
"OPB_CNX","0.1","TABLE","2"
"OPB_DBD","0.1","TABLE","1"
"OPB_SRC","0.1","TABLE","1"
"OPB_TDS","0.1","TABLE","1"
"PO_LINK","0.1","TABLE","0"
"PO_SORT","0.1","TABLE","0"
"PO_TYPE","0.1","TABLE","0"
"RLS_SC$","0.1","TABLE","0"
"SECOBJ$","0.1","TABLE","1"
"SUMAGG$","0.1","TABLE","0"
"SUMDEP$","0.1","TABLE","0"
"SUMKEY$","0.1","TABLE","0"
"UGROUP$","0.1","TABLE","0"
"USTATS$","0.1","TABLE","2"
"USTATS1","0.1","INDEX","-"
"APPROLE$","0.1","TABLE","0"
"CONTEXT$","0.1","TABLE","4"
"DEF$_LOB","0.1","TABLE","0"
"DEFROLE$","0.1","TABLE","0"
"DIMATTR$","0.1","TABLE","0"
"ECOL_IX1","0.1","INDEX","-"
"EDITION$","0.1","TABLE","1"
"FGA_LOG$","0.1","TABLE","0"
"ID_GENS$","0.1","TABLE","1"
"INDPART$","0.1","TABLE","126"
"I_ACTOBJ","0.1","INDEX","-"
"I_DIM$_1","0.1","INDEX","-"
"I_ERROR1","0.1","INDEX","-"
"I_EVCOL1","0.1","INDEX","-"
"I_FGACOL","0.1","INDEX","-"
"I_INCEXP","0.1","INDEX","-"
"I_RGROUP","0.1","INDEX","-"
"I_RLS_SC","0.1","INDEX","-"
"I_SUM$_1","0.1","INDEX","-"
"JAVAOBJ$","0.1","TABLE","0"
"JAVASNM$","0.1","TABLE","0"
"LOBFRAG$","0.1","TABLE","1"
"METAXSL$","0.1","TABLE","388"
"MIGRATE$","0.1","TABLE","1"
"NET$_ACL","0.1","TABLE","0"
"OBJPRIV$","0.1","TABLE","0"
"OL$HINTS","0.1","TABLE","0"
"OL$NODES","0.1","TABLE","0"
"OPB_ATTR","0.1","TABLE","287"
"OPB_CNX_","0.1","TABLE","0"
"OPB_DBD2","0.1","INDEX","-"
"OPB_DBDS","0.1","TABLE","1"
"OPB_DBD_","0.1","TABLE","0"
"OPB_ROLE","0.1","TABLE","2"
"OPB_SRC_","0.1","TABLE","0"
"OPB_TARG","0.1","TABLE","1"
"OPB_TASK","0.1","TABLE","3"
"OPB_TDS_","0.1","TABLE","0"
"PARTCOL$","0.1","TABLE","197"
"PARTLOB$","0.1","TABLE","1"
"PARTOBJ$","0.1","TABLE","146"
"PO_ALERT","0.1","TABLE","0"
"PO_IDOBJ","0.1","TABLE","51"
"PO_VALUE","0.1","TABLE","0"
"PROFILE$","0.1","TABLE","17"
"REC_TAB$","0.1","TABLE","8"
"REC_VAR$","0.1","TABLE","3"
"REG$_IDX","0.1","INDEX","-"
"RLS_CTX$","0.1","TABLE","0"
"RLS_GRP$","0.1","TABLE","0"
"RULESET$","0.1","TABLE","0"
"RULE_EC$","0.1","TABLE","9"
"SERVICE$","0.1","TABLE","4"
"SUMJOIN$","0.1","TABLE","0"
"SUMPRED$","0.1","TABLE","0"
"SYSAUTH$","0.1","TABLE","716"
"TABPART$","0.1","TABLE","109"
"VIEWCON$","0.1","TABLE","0"
"CPOOL$_UI","0.1","INDEX","-"
"DIMLEVEL$","0.1","TABLE","0"
"EPG$_AUTH","0.1","TABLE","0"
"I1_QUEUES","0.1","INDEX","-"
"INDTYPES$","0.1","TABLE","8"
"I_APPROLE","0.1","INDEX","-"
"I_CONTEXT","0.1","INDEX","-"
"I_HIER$_1","0.1","INDEX","-"
"I_JIJOIN$","0.1","INDEX","-"
"I_JOB_JOB","0.1","INDEX","-"
"I_OBJTYPE","0.1","INDEX","-"
"I_PROFILE","0.1","INDEX","-"
"I_REC_TAB","0.1","INDEX","-"
"I_REC_VAR","0.1","INDEX","-"
"I_REFCON1","0.1","INDEX","-"
"I_REFCON2","0.1","INDEX","-"
"I_RGCHILD","0.1","INDEX","-"
"I_RLS_CTX","0.1","INDEX","-"
"I_RLS_GRP","0.1","INDEX","-"
"I_RULE_EC","0.1","INDEX","-"
"I_UGROUP1","0.1","INDEX","-"
"I_UGROUP2","0.1","INDEX","-"
"KU_UTLUSE","0.1","TABLE","5"
"MAP_FILE$","0.1","TABLE","0"
"METAVIEW$","0.1","TABLE","478"
"OBJERROR$","0.1","TABLE","0"
"OLAP_TAB$","0.1","TABLE","0"
"OPB_CCONN","0.1","INDEX","-"
"OPB_DBDS_","0.1","TABLE","0"
"OPB_EVENT","0.1","TABLE","0"
"OPB_MACRO","0.1","TABLE","0"
"OPB_RTSEQ","0.1","TABLE","57"
"OPB_TARG_","0.1","TABLE","0"
"OPB_TASK_","0.1","TABLE","0"
"OPB_USERS","0.1","TABLE","0"
"OPERATOR$","0.1","TABLE","45"
"PO_FOLDER","0.1","TABLE","54"
"PO_OPTION","0.1","TABLE","212"
"PROFNAME$","0.1","TABLE","1"
"REGISTRY$","0.1","TABLE","5"
"REG_SNAP$","0.1","TABLE","0"
"RULE_MAP$","0.1","TABLE","2"
"RULE_SET$","0.1","TABLE","13"
"SQLERROR$","0.1","TABLE","0"
"SUMDELTA$","0.1","TABLE","-"
"SUPEROBJ$","0.1","TABLE","0"
"UNQ_PAIRS","0.1","INDEX","-"
"AQ$_MEM_MC","0.1","TABLE","-"
"AQ$_QUEUES","0.1","TABLE","21"
"AUX_STATS$","0.1","TABLE","13"
"BOOTSTRAP$","0.1","TABLE","60"
"DEF$_ERROR","0.1","TABLE","0"
"EXPDEPACT$","0.1","TABLE","0"
"EXPDEPOBJ$","0.1","TABLE","63"
"EXPPKGACT$","0.1","TABLE","38"
"EXPPKGOBJ$","0.1","TABLE","21"
"FIXED_OBJ$","0.1","TABLE","924"
"HIERLEVEL$","0.1","TABLE","0"
"I2_JIJOIN$","0.1","INDEX","-"
"I3_JIJOIN$","0.1","INDEX","-"
"IND_STATS$","0.1","TABLE","0"
"I_ATTRCOL1","0.1","INDEX","-"
"I_DEFROLE1","0.1","INDEX","-"
"I_JAVAOBJ1","0.1","INDEX","-"
"I_JAVASNM1","0.1","INDEX","-"
"I_JOB_NEXT","0.1","INDEX","-"
"I_OPQTYPE1","0.1","INDEX","-"
"I_PARTCOL$","0.1","INDEX","-"
"I_PARTOBJ$","0.1","INDEX","-"
"I_PROFNAME","0.1","INDEX","-"
"I_RULE_SET","0.1","INDEX","-"
"I_SUMQB$_1","0.1","INDEX","-"
"I_SUMQB$_2","0.1","INDEX","-"
"I_SUMQB$_3","0.1","INDEX","-"
"I_SYSAUTH1","0.1","INDEX","-"
"I_TRIGGER1","0.1","INDEX","-"
"I_TRIGGER2","0.1","INDEX","-"
"I_VIEWCON1","0.1","INDEX","-"
"I_VIEWCON2","0.1","INDEX","-"
"NCOMP_DLL$","0.1","TABLE","0"
"OL$HNT_NUM","0.1","INDEX","-"
"OPBINDING$","0.1","TABLE","117"
"OPB_EVENT_","0.1","TABLE","0"
"OPB_GROUPS","0.1","TABLE","0"
"OPB_MACRO_","0.1","TABLE","0"
"OPB_PICDSC","0.1","TABLE","11"
"OPB_SCHEMA","0.1","TABLE","0"
"OPB_WIDGET","0.1","TABLE","1"
"PC_PACKAGE","0.1","TABLE","63"
"PO_COMMAND","0.1","TABLE","0"
"PO_CONTEXT","0.1","TABLE","0"
"PO_FEATURE","0.1","TABLE","64"
"PO_ISPLONG","0.1","TABLE","0"
"PO_NODEREF","0.1","TABLE","0"
"PO_PROCESS","0.1","TABLE","7"
"SNAP_SITE$","0.1","TABLE","0"
"SNAP_XCMT$","0.1","TABLE","-"
"SUMDETAIL$","0.1","TABLE","0"
"SUMINLINE$","0.1","TABLE","0"
"SYS_C00645","0.1","INDEX","-"
"SYS_FBA_DL","0.1","TABLE","0"
"SYS_FBA_FA","0.1","TABLE","0"
"TAB_STATS$","0.1","TABLE","0"
"CDC_SYSTEM$","0.1","TABLE","1"
"COLLELEMIND","0.1","INDEX","-"
"DEF$_AQCALL","0.1","TABLE","-"
"DEF$_LOB_N1","0.1","INDEX","-"
"DEF$_ORIGIN","0.1","TABLE","0"
"DEFSUBPART$","0.1","TABLE","0"
"DIMJOINKEY$","0.1","TABLE","0"
"HS$_BASE_DD","0.1","TABLE","102"
"HS$_INST_DD","0.1","TABLE","0"
"INDCOMPART$","0.1","TABLE","0"
"INDREBUILD$","0.1","TABLE","0"
"INDSUBPART$","0.1","TABLE","0"
"IND_ONLINE$","0.1","TABLE","0"
"ISP_RUN_LOG","0.1","TABLE","2"
"I_DEPENDOBJ","0.1","INDEX","-"
"I_METAVIEW$","0.1","INDEX","-"
"I_OLAP_TAB$","0.1","INDEX","-"
"I_PARENTOBJ","0.1","INDEX","-"
"I_REG_SNAP1","0.1","INDEX","-"
"I_REG_SNAP2","0.1","INDEX","-"
"I_RULE_MAP1","0.1","INDEX","-"
"I_RULE_MAP2","0.1","INDEX","-"
"I_SUMAGG$_1","0.1","INDEX","-"
"I_SUMDELTA$","0.1","INDEX","-"
"I_SUMDEP$_1","0.1","INDEX","-"
"I_SUMDEP$_2","0.1","INDEX","-"
"I_SUMKEY$_1","0.1","INDEX","-"
"I_SUPEROBJ1","0.1","INDEX","-"
"I_SUPEROBJ2","0.1","INDEX","-"
"LOGMNRG_TS$","0.1","TABLE","0"
"OLAP_CUBES$","0.1","TABLE","0"
"OPB_CNX_IDX","0.1","INDEX","-"
"OPB_DBD_IDX","0.1","INDEX","-"
"OPB_KEYWORD","0.1","TABLE","0"
"OPB_MAPPING","0.1","TABLE","1"
"OPB_MD_CUBE","0.1","TABLE","0"
"OPB_MD_FACT","0.1","TABLE","0"
"OPB_MMD_CNX","0.1","TABLE","79"
"OPB_PICDSC_","0.1","TABLE","0"
"OPB_REPOSIT","0.1","TABLE","2"
"OPB_REP_IDX","0.1","INDEX","-"
"OPB_SELINFO","0.1","TABLE","1"
"OPB_SESSION","0.1","TABLE","1"
"OPB_SRC_FLD","0.1","TABLE","11"
"OPB_SRC_IDX","0.1","INDEX","-"
"OPB_SUBJECT","0.1","TABLE","1"
"OPB_TDS_IDX","0.1","INDEX","-"
"OPB_WIDGET_","0.1","TABLE","0"
"PC_AUDITLOG","0.1","TABLE","2"
"PC_DBOBJECT","0.1","TABLE","158"
"PC_ORMSTATE","0.1","TABLE","2"
"PO_CALUSAGE","0.1","TABLE","0"
"PO_CLOUDORG","0.1","TABLE","0"
"PO_CODEPAGE","0.1","TABLE","0"
"PO_ENDPOINT","0.1","TABLE","0"
"PO_FILEINF1","0.1","TABLE","0"
"PO_FILEINFO","0.1","TABLE","0"
"PO_GLOSSARY","0.1","TABLE","0"
"PO_LOGEVENT","0.1","TABLE","0"
"PO_SORTPORT","0.1","TABLE","0"
"PO_TAGLINKS","0.1","TABLE","0"
"PO_USERINFO","0.1","TABLE","1"
"PROCEDUREC$","0.1","TABLE","1,190"
"PROXY_DATA$","0.1","TABLE","0"
"PROXY_INFO$","0.1","TABLE","0"
"PR_RESOURCE","0.1","TABLE","220"
"RECYCLEBIN$","0.1","TABLE","0"
"REGISTRY_PK","0.1","INDEX","-"
"REPCAT$_DDL","0.1","INDEX","-"
"REPCAT$_DDL","0.1","TABLE","0"
"SNAP_REFOP$","0.1","TABLE","0"
"SUBPARTCOL$","0.1","TABLE","1"
"SUMPARTLOG$","0.1","TABLE","0"
"SYS_C001428","0.1","INDEX","-"
"SYS_C001429","0.1","INDEX","-"
"SYS_C001434","0.1","INDEX","-"
"SYS_C001439","0.1","INDEX","-"
"SYS_C001442","0.1","INDEX","-"
"SYS_C001445","0.1","INDEX","-"
"SYS_C001580","0.1","INDEX","-"
"SYS_C001583","0.1","INDEX","-"
"SYS_C001623","0.1","INDEX","-"
"SYS_C001634","0.1","INDEX","-"
"SYS_C001638","0.1","INDEX","-"
"SYS_C001694","0.1","INDEX","-"
"SYS_C003081","0.1","INDEX","-"
"SYS_C003197","0.1","INDEX","-"
"SYS_C003204","0.1","INDEX","-"
"SYS_C003208","0.1","INDEX","-"
"SYS_C003209","0.1","INDEX","-"
"SYS_C003224","0.1","INDEX","-"
"SYS_C003225","0.1","INDEX","-"
"SYS_C003226","0.1","INDEX","-"
"SYS_C003234","0.1","INDEX","-"
"SYS_C003243","0.1","INDEX","-"
"SYS_C003250","0.1","INDEX","-"
"SYS_C003251","0.1","INDEX","-"
"SYS_C003268","0.1","INDEX","-"
"SYS_C003269","0.1","INDEX","-"
"SYS_C003270","0.1","INDEX","-"
"SYS_C003277","0.1","INDEX","-"
"SYS_C003294","0.1","INDEX","-"
"SYS_C003295","0.1","INDEX","-"
"SYS_C003296","0.1","INDEX","-"
"SYS_C003297","0.1","INDEX","-"
"SYS_C003356","0.1","INDEX","-"
"SYS_C003357","0.1","INDEX","-"
"SYS_C003358","0.1","INDEX","-"
"SYS_C003361","0.1","INDEX","-"
"SYS_C003370","0.1","INDEX","-"
"SYS_C003371","0.1","INDEX","-"
"SYS_C003374","0.1","INDEX","-"
"SYS_C003383","0.1","INDEX","-"
"SYS_C003384","0.1","INDEX","-"
"SYS_C003387","0.1","INDEX","-"
"SYS_C003486","0.1","INDEX","-"
"SYS_C003487","0.1","INDEX","-"
"SYS_C003500","0.1","INDEX","-"
"SYS_C003503","0.1","INDEX","-"
"SYS_C003511","0.1","INDEX","-"
"SYS_C003514","0.1","INDEX","-"
"SYS_C003517","0.1","INDEX","-"
"SYS_C003526","0.1","INDEX","-"
"SYS_C003527","0.1","INDEX","-"
"SYS_C003528","0.1","INDEX","-"
"SYS_C003529","0.1","INDEX","-"
"SYS_C003532","0.1","INDEX","-"
"SYS_C003540","0.1","INDEX","-"
"SYS_C003543","0.1","INDEX","-"
"SYS_C007003","0.1","INDEX","-"
"SYS_C007005","0.1","INDEX","-"
"SYS_C007007","0.1","INDEX","-"
"SYS_C007010","0.1","INDEX","-"
"SYS_C007012","0.1","INDEX","-"
"SYS_C007014","0.1","INDEX","-"
"SYS_C007016","0.1","INDEX","-"
"SYS_C007018","0.1","INDEX","-"
"SYS_C007020","0.1","INDEX","-"
"SYS_C007023","0.1","INDEX","-"
"SYS_C007027","0.1","INDEX","-"
"SYS_C007029","0.1","INDEX","-"
"SYS_C007039","0.1","INDEX","-"
"SYS_C007051","0.1","INDEX","-"
"SYS_C007052","0.1","INDEX","-"
"SYS_C007056","0.1","INDEX","-"
"SYS_C007057","0.1","INDEX","-"
"SYS_C007062","0.1","INDEX","-"
"SYS_C007063","0.1","INDEX","-"
"SYS_C007067","0.1","INDEX","-"
"SYS_C007068","0.1","INDEX","-"
"SYS_C007073","0.1","INDEX","-"
"SYS_C007074","0.1","INDEX","-"
"SYS_C007079","0.1","INDEX","-"
"SYS_C007080","0.1","INDEX","-"
"SYS_C007084","0.1","INDEX","-"
"SYS_C007085","0.1","INDEX","-"
"SYS_C007090","0.1","INDEX","-"
"SYS_C007091","0.1","INDEX","-"
"SYS_C007096","0.1","INDEX","-"
"SYS_C007097","0.1","INDEX","-"
"SYS_C007101","0.1","INDEX","-"
"SYS_C007102","0.1","INDEX","-"
"SYS_C007106","0.1","INDEX","-"
"SYS_C007107","0.1","INDEX","-"
"SYS_C007111","0.1","INDEX","-"
"SYS_C007112","0.1","INDEX","-"
"SYS_C007116","0.1","INDEX","-"
"SYS_C007117","0.1","INDEX","-"
"SYS_C007119","0.1","INDEX","-"
"SYS_C007123","0.1","INDEX","-"
"SYS_C007124","0.1","INDEX","-"
"SYS_C007128","0.1","INDEX","-"
"SYS_C007129","0.1","INDEX","-"
"SYS_C007134","0.1","INDEX","-"
"SYS_C007135","0.1","INDEX","-"
"SYS_C007139","0.1","INDEX","-"
"SYS_C007140","0.1","INDEX","-"
"SYS_C007144","0.1","INDEX","-"
"SYS_C007145","0.1","INDEX","-"
"SYS_C007150","0.1","INDEX","-"
"SYS_C007151","0.1","INDEX","-"
"SYS_C007155","0.1","INDEX","-"
"SYS_C007156","0.1","INDEX","-"
"SYS_C007161","0.1","INDEX","-"
"SYS_C007162","0.1","INDEX","-"
"SYS_C007167","0.1","INDEX","-"
"SYS_C007168","0.1","INDEX","-"
"SYS_C007173","0.1","INDEX","-"
"SYS_C007174","0.1","INDEX","-"
"SYS_C007178","0.1","INDEX","-"
"SYS_C007179","0.1","INDEX","-"
"SYS_C007184","0.1","INDEX","-"
"SYS_C007185","0.1","INDEX","-"
"SYS_C007190","0.1","INDEX","-"
"SYS_C007191","0.1","INDEX","-"
"SYS_C007193","0.1","INDEX","-"
"SYS_C007198","0.1","INDEX","-"
"SYS_C007199","0.1","INDEX","-"
"SYS_C007204","0.1","INDEX","-"
"SYS_C007205","0.1","INDEX","-"
"SYS_C007209","0.1","INDEX","-"
"SYS_C007210","0.1","INDEX","-"
"SYS_C007214","0.1","INDEX","-"
"SYS_C007215","0.1","INDEX","-"
"SYS_C007220","0.1","INDEX","-"
"SYS_C007221","0.1","INDEX","-"
"SYS_C007226","0.1","INDEX","-"
"SYS_C007227","0.1","INDEX","-"
"SYS_C007232","0.1","INDEX","-"
"SYS_C007233","0.1","INDEX","-"
